symbol,as_of_date,available_date,shares_outstanding,promoter_holding_pct,public_holding_pct,source,filing_id
AKASH,2026-03-31,2026-04-17,16862137,74.59,25.41,NSE_SHAREHOLDING_XBRL,SHP_1652887_17042026121455
AKASH,2026-06-30,2026-07-17,16862137,74.59,25.41,NSE_SHAREHOLDING_XBRL,SHP_1694822_17072026112504
AKG,2026-03-31,2026-04-16,31777654,37.6,62.4,NSE_SHAREHOLDING_XBRL,SHP_1651860_16042026111718
AKG,2026-06-30,2026-07-20,31776011,50.69,49.31,NSE_SHAREHOLDING_XBRL,SHP_1696792_20072026034535
AKI,2026-03-31,2026-04-21,103211662,53.92,46.08,NSE_SHAREHOLDING_XBRL,SHP_1655818_21042026115037
AKI,2026-06-30,2026-07-21,103211662,53.92,46.08,NSE_SHAREHOLDING_XBRL,SHP_1698069_21072026024054
AKSHARCHEM,2026-03-31,2026-04-06,8032754,62.7,37.3,NSE_SHAREHOLDING_XBRL,SHP_1646108_06042026123125
AKSHARCHEM,2026-06-30,2026-07-06,8032754,62.7,37.3,NSE_SHAREHOLDING_XBRL,SHP_1688322_06072026110051
AKSHOPTFBR,2026-03-31,2026-04-14,162709871,19.37,80.63,NSE_SHAREHOLDING_XBRL,SHP_1650522_14042026030025
AKSHOPTFBR,2026-06-30,2026-07-10,162709871,19.37,80.63,NSE_SHAREHOLDING_XBRL,SHP_1690165_10072026113435
AKUMS,2026-03-31,2026-04-07,157395004,75.26,22.01,NSE_SHAREHOLDING_XBRL,SHP_1646793_07042026052444
AKUMS,2026-06-30,2026-07-18,157394871,75.26,22.01,NSE_SHAREHOLDING_XBRL,SHP_1696143_18072026042104
ALANKIT,2026-03-31,2026-05-12,271147228,54.15,45.85,NSE_SHAREHOLDING_XBRL,SHP_1663944_06052026105701
ALANKIT,2026-06-30,2026-07-13,271147228,54.15,45.85,NSE_SHAREHOLDING_XBRL,SHP_1691666_13072026060703
