symbol,as_of_date,available_date,market_cap_cr,source,filing_id,loaded_at
GLOBE,2026-04-07,2026-04-07,108.986382384,CALCULATED_QUARTERLY_SHARES,SHP_1646764_07042026050257,2026-08-18 17:58:29
GMDCLTD,2026-04-07,2026-04-07,18860.58,CALCULATED_QUARTERLY_SHARES,SHP_1646901_07042026062119,2026-08-18 17:58:29
GOACARBON,2026-04-07,2026-04-07,283.5443547,CALCULATED_QUARTERLY_SHARES,SHP_1646157_06042026021044,2026-08-18 17:58:29
GODFRYPHLP,2026-04-07,2026-04-07,30107.832097320003,CALCULATED_QUARTERLY_SHARES,SHP_1646484_07042026103320,2026-08-18 17:58:29
GRANULES,2026-04-07,2026-04-07,15827.77795128,CALCULATED_QUARTERLY_SHARES,SHP_1646192_06042026031945,2026-08-18 17:58:29
GRSE,2026-04-07,2026-04-07,26407.672560000003,CALCULATED_QUARTERLY_SHARES,SHP_1646629_07042026025757,2026-08-18 17:58:29
HAVISHA,2026-04-07,2026-04-07,26.560725638,CALCULATED_QUARTERLY_SHARES,SHP_1646015_04042026060546,2026-08-18 17:58:29
HCG,2026-04-07,2026-04-07,7954.7024016,CALCULATED_QUARTERLY_SHARES,SHP_1645310_02042026023030,2026-08-18 17:58:29
HDFCBANK,2026-04-07,2026-04-07,1029591.1801496,CALCULATED_QUARTERLY_SHARES,SHP_1645257_02042026124041,2026-08-18 17:58:29
HERITGFOOD,2026-04-07,2026-04-07,2919.59021354,CALCULATED_QUARTERLY_SHARES,SHP_1646691_07042026035809,2026-08-18 17:58:29
HISARMETAL,2026-04-07,2026-04-07,77.403474544,CALCULATED_QUARTERLY_SHARES,SHP_1645924_04042026110632,2026-08-18 17:58:29
HMAAGRO,2026-04-07,2026-04-07,1267.887446484,CALCULATED_QUARTERLY_SHARES,SHP_1646860_07042026055301,2026-08-18 17:58:29
HONDAPOWER,2026-04-07,2026-04-07,2052.23203362,CALCULATED_QUARTERLY_SHARES,SHP_1646657_07042026033147,2026-08-18 17:58:29
IBULLSLTD,2026-04-07,2026-04-07,2424.028879055,CALCULATED_QUARTERLY_SHARES,SHP_1646696_07042026040311,2026-08-18 17:58:29
ICRA,2026-04-07,2026-04-07,4936.6222191,CALCULATED_QUARTERLY_SHARES,SHP_1646774_07042026050841,2026-08-18 17:58:29
INDIANB,2026-04-07,2026-04-07,121927.95575295,CALCULATED_QUARTERLY_SHARES,SHP_1646673_07042026034349,2026-08-18 17:58:29
INDIANHUME,2026-04-07,2026-04-07,1723.7193752,CALCULATED_QUARTERLY_SHARES,SHP_1646175_06042026025756,2026-08-18 17:58:29
IOB,2026-04-07,2026-04-07,63430.125980508,CALCULATED_QUARTERLY_SHARES,SHP_1646941_07042026064654,2026-08-18 17:58:29
JKIL,2026-04-07,2026-04-07,3492.792149035,CALCULATED_QUARTERLY_SHARES,SHP_1646791_07042026052140,2026-08-18 17:58:29
JOCIL,2026-04-07,2026-04-07,99.38192604,CALCULATED_QUARTERLY_SHARES,SHP_1646551_07042026122246,2026-08-18 17:58:29
JPPOWER,2026-04-07,2026-04-07,10417.257414,CALCULATED_QUARTERLY_SHARES,SHP_1646699_07042026040615,2026-08-18 17:58:29
JTEKTINDIA,2026-04-07,2026-04-07,3536.727538597,CALCULATED_QUARTERLY_SHARES,SHP_1646618_07042026024240,2026-08-18 17:58:29
KAMOPAINTS,2026-04-07,2026-04-07,156.27337265,CALCULATED_QUARTERLY_SHARES,SHP_1644853_01042026035332,2026-08-18 17:58:29
KANPRPLA,2026-04-07,2026-04-07,443.520015832,CALCULATED_QUARTERLY_SHARES,SHP_1645817_03042026052503,2026-08-18 17:58:29
